ID,Mutation_Class,Mutant_Status,Line_Number,Mutation_Type,Test_Name
26: Equality mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[563..581)),Killed,22,Equality mutation,BankomatUJ.Tests.tests.AtmTest.CheckPinAndLogInMethodIncorrectParameterTest3
27: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[592..674)),Ignored,23,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.CheckPinAndLogInMethodIncorrectParameterTest1
28: Statement mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[607..663)),Killed,24,Statement mutation,BankomatUJ.Tests.tests.AtmTest.CheckPinAndLogInMethodIncorrectParameterTest1
29: String mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[635..661)),Survived,24,String mutation,BankomatUJ.Tests.tests.AtmTest.CheckPinAndLogInMethodIncorrectParameterTest1
30: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[789..962)),Ignored,32,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.AccountStatusMethodCorrectParameterTest
30: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[789..962)),Ignored,32,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.AccountStatusMethodIncorrectParameterTest1
31: Equality mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[804..819)),Killed,33,Equality mutation,BankomatUJ.Tests.tests.AtmTest.AccountStatusMethodCorrectParameterTest
31: Equality mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[804..819)),Killed,33,Equality mutation,BankomatUJ.Tests.tests.AtmTest.AccountStatusMethodIncorrectParameterTest1
32: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[830..912)),Ignored,34,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.AccountStatusMethodIncorrectParameterTest1
33: Statement mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[845..901)),Killed,35,Statement mutation,BankomatUJ.Tests.tests.AtmTest.AccountStatusMethodIncorrectParameterTest1
34: String mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[873..899)),Survived,35,String mutation,BankomatUJ.Tests.tests.AtmTest.AccountStatusMethodIncorrectParameterTest1
35: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1074..1266)),Ignored,43,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.ChangePinCardMethodCorrectParameterTest
35: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1074..1266)),Ignored,43,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.ChangePinCardMethodIncorrectParameterTest1
35: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1074..1266)),Ignored,43,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.ChangePinCardMethodIncorrectParameterTest2
35: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1074..1266)),Ignored,43,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.ChangePinCardMethodIncorrectParameterTest3
35: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1074..1266)),Ignored,43,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.ChangePinCardMethodIncorrectParameterTest4
36: Equality mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1089..1101)),Killed,44,Equality mutation,BankomatUJ.Tests.tests.AtmTest.ChangePinCardMethodCorrectParameterTest
36: Equality mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1089..1101)),Killed,44,Equality mutation,BankomatUJ.Tests.tests.AtmTest.ChangePinCardMethodIncorrectParameterTest1
